+24855668038.0ns POS: x=140.667, y=170, z=0; VEL:50, y=0, z=0
+25042323483.0ns POS: x=150, y=170, z=0; VEL:0, y=0, z=0
+25042323483.0ns POS: x=150, y=170, z=0; VEL:0, y=50, z=0
+25055668038.0ns POS: x=150, y=170.667, z=0; VEL:0, y=0, z=0
+25055668038.0ns POS: x=150, y=170.667, z=0; VEL:0, y=50.0824, z=0
+25088286003.0ns POS: x=150, y=30.3142, z=0; VEL:0, y=0, z=0
+25088286003.0ns POS: x=150, y=30.3142, z=0; VEL:0, y=-50.1638, z=0
+25094549400.0ns POS: x=150, y=30, z=0; VEL:0, y=0, z=0
+25094549400.0ns POS: x=150, y=30, z=0; VEL:50.1638, y=0, z=0
+25441687275.0ns POS: x=150, y=190, z=0; VEL:0, y=0, z=0
+25441687275.0ns POS: x=150, y=190, z=0; VEL:50.0824, y=0, z=0
+25486979680.0ns POS: x=169.686, y=30, z=0; VEL:0, y=0, z=0
+25486979680.0ns POS: x=169.686, y=30, z=0; VEL:50.0261, y=0, z=0
+25954187168.0ns POS: x=175.667, y=190, z=0; VEL:0, y=0, z=0
+25954187168.0ns POS: x=175.667, y=190, z=0; VEL:50, y=0, z=0
+26292843490.0ns POS: x=210, y=30, z=0; VEL:0, y=0, z=0
+26292843490.0ns POS: x=210, y=30, z=0; VEL:0, y=50.0261, z=0
+26486458637.0ns POS: x=210, y=39.6858, z=0; VEL:0, y=0, z=0
+26486458637.0ns POS: x=210, y=39.6858, z=0; VEL:0, y=50, z=0
+26640842612.0ns POS: x=210, y=190, z=0; VEL:0, y=0, z=0
